"SE","start","end","cases","Rt","p1","lwr","upr"
201351,"2013-12-15","2013-12-21",25,0.739669421487603,0.00103750480337883,0.605439419921103,0.890436165990293
201352,"2013-12-22","2013-12-28",3,0.502793296089385,2.04580090645834e-08,0.386258221414992,0.64029637682083
201401,"2013-12-29","2014-01-04",69,1.07777777777778,0.696057117926956,0.795480753512005,1.40747220125531
201402,"2014-01-05","2014-01-11",121,1.98969072164948,0.99999999399139,1.53683117632996,2.49563888145361
201403,"2014-01-12","2014-01-18",103,1.51813471502591,0.999997397029838,1.25620207890537,1.80478454048447
201404,"2014-01-19","2014-01-25",103,1.1160409556314,0.914145777567741,0.948136522737688,1.29892524462051
201405,"2014-01-26","2014-02-01",91,0.908256880733945,0.114682569820069,0.772324647688548,1.05697890639773
201406,"2014-02-02","2014-02-08",86,0.942760942760943,0.239385072212904,0.79638363891718,1.10332732812758
201407,"2014-02-09","2014-02-15",84,0.932142857142857,0.206796338089894,0.782929769777482,1.09636077140237
201408,"2014-02-16","2014-02-22",78,0.950191570881226,0.282064877654058,0.793665971299538,1.12287409633877
201409,"2014-02-23","2014-03-01",52,0.862903225806452,0.0566003220233606,0.713939054291416,1.02850835042909
201410,"2014-03-02","2014-03-08",61,0.892523364485981,0.126236118379996,0.72876230691526,1.075679689753
201411,"2014-03-09","2014-03-15",50,0.853403141361257,0.068017642581027,0.686539326779162,1.0417646989518
201412,"2014-03-16","2014-03-22",68,1.09815950920245,0.80686318786969,0.87978211467118,1.3431649433891
201413,"2014-03-23","2014-03-29",60,0.994413407821229,0.478870944437998,0.800977154718477,1.21155476710313
201414,"2014-03-30","2014-04-05",62,1.06741573033708,0.734443500395881,0.862433768724429,1.29664240930441
201415,"2014-04-06","2014-04-12",66,0.989473684210526,0.458988379489259,0.802060470814235,1.19921141725727
201416,"2014-04-13","2014-04-19",57,0.984042553191489,0.438210179582046,0.796505919319683,1.19410927668975
201417,"2014-04-20","2014-04-26",52,0.945945945945946,0.298856934930927,0.762686911648768,1.15189023953641
201418,"2014-04-27","2014-05-03",63,0.982857142857143,0.435951005582223,0.789146959999274,1.20074095927352
201419,"2014-05-04","2014-05-10",64,1.0406976744186,0.645830857681415,0.836518815918947,1.26980008758548
201420,"2014-05-11","2014-05-17",64,1.06703910614525,0.733885968875725,0.862648049998956,1.2955392649688
201421,"2014-05-18","2014-05-24",53,0.947643979057592,0.301849517452022,0.766836098227406,1.1504423272075
201422,"2014-05-25","2014-05-31",39,0.861878453038674,0.0862598454489288,0.689509699782527,1.05696434899298
201423,"2014-06-01","2014-06-07",45,0.878205128205128,0.133076683336432,0.690924203433306,1.09189390242624
201424,"2014-06-08","2014-06-14",42,0.91970802919708,0.248421720258387,0.713725477804442,1.15599695542342
201425,"2014-06-15","2014-06-21",41,1.01587301587302,0.550014478994713,0.784599332624123,1.28079592648205
201426,"2014-06-22","2014-06-28",34,0.9140625,0.240691424772756,0.702593285652646,1.15788654270413
201427,"2014-06-29","2014-07-05",39,0.974358974358974,0.42162235689831,0.742828508725767,1.24172690936887
201428,"2014-07-06","2014-07-12",24,0.850877192982456,0.120340928957006,0.639974163104495,1.09748771294256
201429,"2014-07-13","2014-07-19",25,0.907216494845361,0.253563388077443,0.668881512730235,1.18792907651513
201430,"2014-07-20","2014-07-26",24,0.829545454545455,0.117791213234635,0.597314254282352,1.10753209190363
201431,"2014-07-27","2014-08-02",40,1.21917808219178,0.896410076370389,0.876861209097781,1.62135987390452
201432,"2014-08-03","2014-08-09",29,1.04494382022472,0.616839952778526,0.768123081833398,1.36932756035388
201433,"2014-08-10","2014-08-16",2,0.763440860215054,0.0422715290921726,0.550818417393693,1.01873689260181
