"SE","tweets","APS","casos","estacao","temp.mean","temp.sd","temp.min","temp.max","umid.mean","umid.sd","umid.min","umid.max"
201147,71,"AP2.2",14,"galeao",24.2014285714286,2.45428571428571,20.7142857142857,28,72.7157142857143,10.59,56,89.2857142857143
201148,97,"AP2.2",10,"galeao",23.9814285714286,2,21.2857142857143,27.5714285714286,76.2842857142857,9.96285714285714,58,90.7142857142857
201149,78,"AP2.2",15,"galeao",24.5471428571429,1.77,22.4285714285714,28,78.1642857142857,7.30857142857143,63.2857142857143,87.7142857142857
201150,98,"AP2.2",22,"galeao",25.8057142857143,2.74285714285714,22.4285714285714,30.4285714285714,73.8585714285714,12.49,52.2857142857143,90.1428571428571
201151,107,"AP2.2",22,"galeao",27.7071428571429,3.61142857142857,23,34.1428571428571,65.9,15.2885714285714,40,86.2857142857143
201152,61,"AP2.2",25,"galeao",24.15,1.51,22.1428571428571,27.4285714285714,80.3328571428571,7.54714285714286,65.5714285714286,90.2857142857143
201201,140,"AP2.2",43,"galeao",24.62,2.34142857142857,21.8571428571429,28.8571428571429,79.2142857142857,10.3342857142857,59.5714285714286,91.8571428571429
201202,102,"AP2.2",36,"galeao",26.1057142857143,2.56285714285714,22.8571428571429,30.5714285714286,74.2728571428571,11.2571428571429,54.1428571428571,88.2857142857143
201203,125,"AP2.2",35,"galeao",27.0857142857143,2.73142857142857,23.5714285714286,32.1428571428571,72.4014285714286,12.69,51.8571428571429,90.2857142857143
201204,77,"AP2.2",39,"galeao",26.7485714285714,2.86571428571429,22.7142857142857,31.2857142857143,69.8028571428571,12.3028571428571,50.7142857142857,88.7142857142857
201205,86,"AP2.2",54,"galeao",25.4628571428571,2.96142857142857,21.4285714285714,30.2857142857143,74.0314285714286,12.5585714285714,52.1428571428571,91
201206,87,"AP2.2",55,"galeao",28.0985714285714,3.27571428571429,23.8571428571429,34,67.2042857142857,13.8971428571429,41.8571428571429,86.2857142857143
201207,120,"AP2.2",64,"galeao",26.7828571428571,2.79142857142857,23,31.2857142857143,71.6228571428571,12.9385714285714,49,90.4285714285714
201208,102,"AP2.2",65,"galeao",27.9428571428571,3.21,23.5714285714286,33.2857142857143,64.6228571428571,14.1614285714286,42.2857142857143,84.8571428571429
201209,222,"AP2.2",100,"galeao",29.0828571428571,3.58142857142857,24.1428571428571,35,60.5685714285714,15.4171428571429,35.8571428571429,83.5714285714286
201210,242,"AP2.2",142,"galeao",26.48,2.39,22.7142857142857,30.5714285714286,71.7528571428571,12.8185714285714,49.8571428571429,90.2857142857143
